UserName,Views,Minutes Delivered,Average Minutes Delivered
1600387,43,313.8947175,7.299877151
1600396,39,214.7464252,5.506318594
1600399,29,129.4355458,4.463294682
1600463,69,456.6314204,6.617846672
1600715,13,63.62056283,4.893889449
1600771,75,349.3395609,4.657860811
1600785,58,489.1062675,8.432866682
1600789,3,1.829582707,0.609860902
1600877,21,168.6620157,8.031524556
1600916,59,441.7595438,7.487449895
1600955,19,106.6968969,5.61562615
1601008,60,524.6109721,8.743516202
1601013,46,321.8881013,6.997567419
1601181,37,287.2960638,7.76475848
1601187,25,185.2285244,7.409140976
1601412,8,46.43562297,5.804452871
1601684,43,289.8004337,6.739544971
1601869,68,494.8163131,7.276710487
1602034,43,291.4859376,6.778742735
1602052,18,84.95430467,4.719683593
1602064,33,229.6446754,6.958929557
1602104,22,71.59422227,3.25428283
1602493,93,663.7584579,7.137187719
1602563,8,80.9793011,10.12241264
1602570,25,182.2784621,7.291138482
1602602,50,345.2600986,6.905201972
1602652,82,659.4623671,8.042223989
1602702,127,821.9816451,6.472296418
1602754,10,89.42219313,8.942219313
1602793,25,105.1910143,4.207640572
1602825,6,32.190561,5.3650935
1602855,34,70.68583677,2.078995199
1603450,4,26.33188852,6.582972129
1603642,13,44.40480815,3.415754473
1603662,6,32.17664452,5.362774086
1603736,9,67.7855724,7.531730267
1603741,111,805.6782369,7.258362495
1603768,45,308.684275,6.859650554
1603817,7,35.02762465,5.003946379
1604074,73,454.4285314,6.225048376
1604145,46,384.4955949,8.358599889
1604167,904,1517.932268,1.679128615
1604484,8,54.36706443,6.795883054
1604507,69,584.3232452,8.468452829
1605062,2,0.143644433,0.071822217
1605114,112,802.3185724,7.163558683
1605283,2,7.786178433,3.893089217
1605892,46,298.1454481,6.481422786
1605896,129,946.8064916,7.339585206
1606158,5,18.44165547,3.688331093
1606698,58,405.9779993,6.999620678
1606852,11,28.68540273,2.607763885
1607078,55,353.0049671,6.418272129
1607301,7,36.81170505,5.258815007
1607360,9,75.80065792,8.422295324
1607376,117,684.1385447,5.847337989
1607460,13,74.07543678,5.698110522
1607732,92,530.1389657,5.762380062
1608010,14,103.4807813,7.391484375
1608051,50,136.5746449,2.731492897
1608243,85,675.3877372,7.945738085
1608272,6,41.11006545,6.851677575
1608406,9,60.6980563,6.744228478
1608463,100,694.4220071,6.944220071
1608526,10,55.84724597,5.584724597
1608773,62,435.1647475,7.018786249
