1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,FY_Marks
1.296191614,1.411160742,0.548588452,0.892500357,3.198019083,1.639620022,1.625895819,0.276212796,1.85330719,1.001297108,0.841286679,1.293257767,1.26876551,1.411334287,1.785538398,1.113707708,3.066685061,1.868400023,2.725864014,1.200973153,1.203836374,1.734855346,1.504621815,1.750099079,0.972380755,1.704923812,0.073170953,1.664117716,1.45775572,0.616821574,0.990586124,0.655004745,0.830628335,0.412839004,1.049087015,0.567916393,0.633540139,0,0.90916263,0.935294645,0.482186349,0.429631774,1.766501693,2.111241183,0.774306767,0.953098222,0.453378288,1.25169369,0.244913626,0.344791724,0.871408494,0.707316403,0.506263617,0.74012083,0.981667547,0.846251469,0.783211614,0.806801736,0.755719094,0.754678155,0.973356247,1.694569775,0.025103572,1.03969915,0.436651019,0.267797754,0,0.662480759,0.68669549,0,0.066210281,0,0.4347744,0.033917455,0,0,0,0,0,0.963898568,46
0.071583269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243236194,0,0,0,0,0,0,0,0,0,0,0.372766178,0.903332921,0,0.93190812,1.039327124,1.07361201,3.159465025,2.416176832,1.137599498,1.555192258,0.971683149,2.302352325,0,1.313407093,1.014884035,3.495872853,1.296946817,1.877667784,0.606403885,0,0,0,1.004000693,0.802412667,0.495412564,0.711156055,1.001391199,0.160639539,0,0,0,0.427837874,1.482239433,0,0.848380469,1.233617062,0.392826348,2.596840344,2.103928792,0,61
0.946136082,1.942346367,2.880688603,2.260381872,1.145845676,1.065504303,1.000744421,0.544411846,1.844753557,1.001297108,1.000153707,0.999765333,0.999343169,1.00037066,1.086583205,1.003059375,1.029359532,1.040952032,1.426700348,0.996147504,1.000144389,0.999268156,1.003474359,0.9991625,0.999798039,0.997416107,1.001694772,1.001013189,0.999882507,1.000092218,0,0,0,0,1.002127451,0.99902439,1.000111562,1.00045977,1.000553781,1.002713024,0.997743711,1.000720988,0.999672447,1.002259563,0.997674419,1.002164706,1.003550505,1.164940498,0.999197154,1.000448794,1.00148996,1.000813046,1.000591639,0.999864762,1.015104651,0.999560711,1.005150685,1.002695777,1.001172222,1.014814815,1.124697213,0.999412371,0.619727946,1.05895341,0.799169168,1.124751325,1.001503115,1.161700408,1.210455761,1.000113567,1.002092199,1.001467038,1.000279063,1.001075397,1.000162011,0.998938272,0.997499099,0.999131148,1.003948029,1.00362807,47
1.185636795,1.161473933,1.001111992,1.042653572,1.445189633,1.04223895,1.048119805,0.116700377,0.982885102,1.001191906,1.011398458,1.015675907,1.009621923,0.876859891,0.94112125,1.002008854,1.004056542,1.065976097,1.001602781,1.037397685,0.997353288,0.998859752,1.003474359,0.999115104,1.059322218,0.99723923,1.00140294,1.000425594,0.999614837,0.49149989,0,0,0,0.008019049,0.21748937,0.939871816,1.033547792,1.013061394,0.998796922,0.232356828,0,1.000556867,0.295883449,1.002087773,0.910756493,1.002047998,1.135385409,2.085581663,0.993364622,1.248932709,1.11232798,1.000967347,1.061945159,1.044159276,1.154340492,1.713194248,1.020191016,2.005060467,1.000932717,1.014607019,1.005356871,1.016888991,0.999082254,1.776312444,1.017073887,1.090421621,1.001354132,1.994667247,1.169896966,0.257714932,0.517230814,1.419663411,1.028101258,1.30135582,0.999708585,0.998755657,0.99721595,0.998496832,1.003859104,0.051170095,54
1,0,0,0,0.830800405,1.000431223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.194821251,1.084100663,1.053643306,1.003948972,1.372981784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
1.000867909,1.035607953,0.700682697,1.117079682,0.941207343,0.994879392,1.057992158,0.646103752,1.844085567,1.053576503,1.05749953,0.95544334,1.22157365,1.833167031,0.998180264,1.012292769,1.038547831,1.047712845,1.218183355,1.005279053,0.999788531,0.903253983,1.07085919,1.34826075,0.99948089,1.148692031,1.199390129,1.116764562,0.999591604,1.826456516,1.11952268,0.226062501,0,0,2.000459328,1.19393028,1.002845294,1.343073128,1.000398711,1.030272155,1.042766149,0,0.99868236,1.21667268,0.997597144,1.002098425,1.00313396,0.994147013,1.138158829,1.000153509,1.361023711,1.000813046,1.000591639,0.999864762,0,0.915333713,0,0,0,0,0,0,1.01929702,0.992062683,0.999017281,1.19821402,1.041376834,1.068620225,1.000255835,1.049811087,1.000968987,1.000322266,0.999536383,1.001222492,1.000089574,1.03204063,1.172377966,0.338772973,1.037870265,1.018358958,48
0,0.0228068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006054355,0,0,0,0,0,0,0,0,1.042190395,1.013729344,1.00495079,1.004725855,1.001090089,1.01459494,1.504359006,0,0,0,0,0,0,0,0,0,0,0,0,0,1.046038376,0.998824099,0,1.046898228,0.184002543,0,52
1.001166161,0,1.022698642,0.066451028,1.069911494,1.109828313,1.463870581,0,1.864726367,1.00460034,0.993489792,0.993514663,0.99612112,0.99916454,0.994128367,0,1.001429404,0.997024985,0.998935801,0.990858953,0.995025419,0.991862536,0.994896541,0.996394196,0,0,0,0,0,0.999867296,0,0,0,0,1.000423917,0,0.020266332,0,0,1.001567923,0,0,0,0.333357189,0,0,0,0,0,0,0,0,0,0,0,1.074407193,0,0,0,0,0,0,1.014040076,1.005178669,0.068098034,0,1.001664278,0.825839035,0.005385938,0.087756978,0.221961062,0,0.001816989,1.10117241,0,0,0,0,0,0,67
0,0.112001294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033378364,0,0,0,1.001839523,0.996074586,0,0,0.997117026,0,0,0,0,0,0,0.9567502,0,0,0,0,0.312053801,0,0,0,0,0.623895841,0,0,0,1.103221866,0.035538268,1.064985645,0,0,1.069256049,0.967783837,0.01907249,0,0,0.535020585,0.821082279,0.844251361,1.3316104,0.962889362,1.010799893,1.107310438,1.458318494,1.36324654,1.025023157,0.356507889,0.998225266,0.416037834,0.978448783,0.995427214,0.419072716,0.444455394,0.070530244,0.42375598,0.955171716,0.817392462,0.597557291,0.995783106,0,0,0,0,37
1.000116044,1.034571517,1.000362628,1.17217114,1.015451178,1.306517682,1.091717713,0.566882373,1.844753557,1.152860853,0.99994914,1.279751089,1.137733944,0.999765216,1.018175353,1.258471721,1.231596788,1.10756847,1.222746464,1.07960965,0.999235637,1.022704518,1.264018797,0.999098867,1.995248978,2.001193183,1.487699702,2.272169556,1.095929343,1.310706248,1.001835294,1.103961242,0.77232197,1.000830383,1.002127451,1.066656875,1.212599062,1.004111079,0.997910229,1.040188417,0.997743711,1.000720988,0.999672447,1.716967462,1.274730068,1.037993382,1.003118056,1.067627885,1.107957228,1.000448794,1.223710586,0.997767047,1.196042135,1.227130514,1.015104651,0.128513217,1.055767361,0,0,0,0,0,1.149435069,3.027945411,2.039275041,1.05838838,1.001492891,1.000180522,1.054150156,0.969648556,0.788828718,0.998086989,0.999614744,0.876910765,1.000023471,0.998757612,1.084678301,0.998946949,1.020685444,1.371135818,53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953696091,0,0,0,0,0.646741373,0.90698885,0.775555331,0.335142971,0,0.916136671,0,0,0,0.163941423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02778892,0,0,0,0.006260022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042042326,73
4.015412889,1.345823106,2.002223983,1.996276667,2.000607903,1.791820094,1.586544532,1.088823691,5.534260671,2.002594216,1.832107367,1.253085805,1.080636196,2.004160823,0.998575194,1.003059375,2.661811139,1.99925561,2.003874644,0.996147504,1.000144389,0.999268156,1.003474359,1.998325,0.999798039,0.997416107,1.001694772,1.001013189,0.999882507,1.000092218,1.001835294,1.00107044,0.77232197,1.010581211,1.47655952,0.99902439,1.000111562,1.00045977,1.000553781,1.002713024,0.997743711,1.000720988,0.999672447,1.521320684,0.997674419,1.002164706,1.003550505,0.994227099,0.999197154,1.000448794,1.00148996,1.000813046,1.000591639,0.999864762,1.015104651,0.999560711,1.005150685,1.002695777,1.001172222,1.014814815,1.005534254,0.999412371,1.272139518,0.998183333,0.999713675,1.000378862,1.001503115,0.998372642,0.999677472,1.000113567,1.002092199,1.001467038,1.000279063,1.008971412,0,0.186153538,0,0,0,1.00362807,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.056146475,0.394381206,1.215586131,1.003491237,1.542474552,1.200867874,2.465072746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
0,0,0,0,0,0,0,0,0,0,0,0.938397664,0.244598034,0,0,0,0,0,0,0,0.130993571,0,0,0,0,0,0,0,0,0,0.180943575,0.671125678,0.367219966,0,0,0,0,0,0,0,0.425008491,0,0.999672447,0,0,0,0,0,0,0,0,1.005760365,0,0,1.087444953,0,0,0,0,0,0,0,0.999283676,0.602160561,0,0.009486873,0.244206429,1.313288568,0,0.569937419,0.636950987,0.35655788,0,0,0,0,0,0,0,0,63
2.002877193,2.984450184,2.002223983,4.007631697,2.000607903,2.027980417,4.449233173,1.255418519,5.529803209,2.002594216,2.000307414,2.010444201,2.022080043,2.000741319,1.997150388,2.00611875,2.003837037,1.99925561,2.003874644,1.992295009,2.000288779,1.998536313,2.006948718,0,3.021864363,2.991829501,3.054778527,4.913831628,3.28872978,4.003181334,2.003670588,2.002140881,1.544643939,2.001660767,3.029464865,1.99804878,2.000223124,2.00091954,2.001107561,2.834562057,1.995487421,2.001441975,1.999344894,4.03639629,3.614523645,4.142722931,4.276614944,4.436862796,4.643500787,4.119124316,3.043709739,3.010558884,3.153868191,2.998306246,3.225977581,3.15657139,4.136430742,2.005391554,2.002344444,2.02962963,2.011068507,1.998824742,1.635982139,1.987766708,1.95355694,1.875455102,2.058236854,1.961336142,2.06222303,1.000113567,1.700034577,1.712060424,1.963147259,1.001075397,1.679034132,1.403648079,0.997499099,0.999131148,1.104726127,3.010884211,53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000092218,1.001835294,2.054344018,0,1.128990379,1.002127451,1.033195578,1.000111562,1.00045977,1.129837878,1.002713024,0.997743711,1.204396423,1.783294288,0.051348962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444201474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00362807,65
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002807363,0,0,0,0.203241852,0,0.999346338,1.096750817,0.132701503,1.007180546,0,1.001503115,0,0,0,0,0,0,0,0,0,0,0,0,0,80
1.001438596,1.001041955,1.527042887,0.99808942,1.000020522,0.920225721,1.034708326,0.558169421,1.894854037,1.028785529,1.146832402,0.126446527,1.174145826,0,0,0,0.076451969,0.999488934,1.001717803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999348148,0.119068647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
0.768288798,0.228053728,0.130583769,0.257339617,0.534198964,0.754685828,0.403262969,0,0.079847297,0,0.017134476,0,0,0,0,0,0,0,1.001301638,0.003008206,0,0,0.599150641,0,0,0,0,0,0,0.006196815,0,0,0,0,0,0,0.234663903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
0,0,0,0,0,0,0,0,0,0,0,0.130726761,0,0.983761462,0,0.453882373,1.001918519,0.999627805,2.685708198,2.464284434,2.065008059,2.032770672,3.010212364,2.527917125,0.924084647,0.996678497,1.001694772,0.902271334,0.187223342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195035462,0,0.030598802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148672443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
0,0.436808628,1.001111992,0,0,0,0,0,0,0,0.818806206,0,0.868016291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981539793,0,0,0,0,0,0.901641585,0.251760475,0.457846496,0.149261736,0.908004742,0,0.33920874,0.999297088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.014814815,0,0,0,0,0,0,0,0,0,0,0,0.679453355,0.999859866,0,0,0,0,0,0,0,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735823621,0.807028655,0,0.498184467,0,0,0,0,0,0,0.447229325,0,0,0,0,0,0,0,0,0,1.002713024,0,0,0,0,0,0,0,0.836784437,0.282633805,1.000263926,1.00143798,0,1.000591639,0.978390434,0,0,1.250711756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
1.018505243,0,0,0,0.529886011,2.289231608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290489739,0,0,0,0,0.97777535,0,0,0,0,0,0,0,0,1.014546153,3.642534349,1.118340843,1.931913904,0.042634809,3.247975858,2.427886354,0.755978711,1.000788224,1.004461463,2.726582314,1.167787713,1.424464393,1.308156066,1.967240361,1.906706274,0.852008914,1.117773218,0.959292607,1.116846554,1.951237461,0.942403477,1.997703499,1.839229646,1.037347206,1.041232045,1.563542452,0.925725587,3.555099106,1.492659251,2.147666143,2.520083387,1.561932454,0,1.079454536,2.058341887,0,37
0,0,0,0,0,0,0,0,0,0,1.582649718,0,0,1.036850269,0,0,0,0,1.1293038,1.272402221,1.59915841,0,1.016345764,0.9991625,0.900722094,0.950078306,0,0.982710081,0.954180013,1.00002675,0,0,0,0,0.9827534,0.999014449,0,0.991443931,0.965477274,1.002543883,0,1.003218844,0.999672447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044384719,0,0,0,0.002952137,0,0,1.344939991,1.629238372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770235046,0,0.606226971,0.8724345,0.993160445,0.844462587,0.924617877,0.467591096,0.630277319,0.533406967,0.755519027,0.756283244,0.832350923,0.478577651,0.710218503,0.090399048,1.005531634,0.800817876,0.999412371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
0,0,0,0,0,0,0,0,0,0,0,1.002831052,0,0,1.033977091,0,0,0,0,0,0,0,0,0,0,0.967403102,1.000623654,0.711982239,0.999882507,0,0,0,0,0,0,0.155503468,1.140368886,1.080636105,0.051612689,0,0,0.839537617,1.036671587,1.000959527,1.040573881,1.001573549,0.684727737,1.055785639,0.997632043,1.000953045,1.011678968,1.076111081,0,0.999693238,0,0.883455887,1.018349491,0.435061312,0,0,0,0,1.195102909,0.265312094,1.036615217,1.141430498,1.183669945,1.028566135,0,0,0,0.44074335,1.095292852,0,0,1.069949067,0,0,0.815778674,0,62
1.000340316,1.011073082,0.791283888,0.979291293,0.989469053,0.999449705,1.01621071,0.004876488,1.828844393,0.008588617,0.996494649,1.957154088,1.011239743,0.003147651,0,0,0.888888889,0.997536946,0.997150997,1.065062389,0,0,1.215384615,1.120833333,0,1.020134228,0.997751546,0,0,0.652271705,0.964705882,1,0.768939394,0.880530973,0.843137255,0.743089431,0.875591616,0.745689655,0.990415335,1,0,1.075308642,0.999518304,1,0.724031008,1,0,0.992366412,0.995934959,0.889679715,1,0,0.998506906,0.434285714,0.996124031,0,1.002283105,0.996309963,0.885185185,1.013888889,0.823108384,0,1.152241881,1.135692903,0.995826276,0.997989598,0.992664063,0.99745186,0.219647631,0,0.19131183,0.436991959,1.066898642,0.996015086,0,1.075855346,0.025119971,0,1.008237839,0,70
0,0,0,0,0,0,0,0,0,0,0.999784595,0,0,0,0,0,0,0.997343108,0.955506538,1.920274469,0,0,1.880575635,0,0,0.995911736,0.589175037,0,0,0.343805283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830687763,0.482741999,0,0,0,0,0,0,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778359628,0.074865155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060720274,0,0,0,0,0.044335328,0,0,66
